20200310,29200,30050,29200,29625,267334,794722720
20200309,30000,30200,28925,28925,281779,830787437
20200306,31750,31750,31000,31000,155671,484892162
20200305,32700,32700,31700,32175,155166,497923862
20200304,31575,32500,31300,32200,166050,532743082
20200303,31000,31750,31000,31600,229327,723138232
20200302,31450,31450,30175,30400,289743,891362272
20200228,31000,31450,30175,31450,339893,1048122467
20200227,32350,32375,31000,31450,258509,812819827
20200226,32500,32675,32100,32100,185649,600970730
20200225,32750,32800,32550,32650,172893,564519857
20200224,32825,33000,32550,32625,169820,555678427
20200221,33000,33300,32975,33075,196522,650232782
20200220,33450,33475,32825,32975,273449,906154017
20200219,33325,33800,33325,33475,149188,499517600
20200218,33425,33600,33350,33475,196873,659742415
20200217,33400,33750,33400,33600,230638,774311460
20200214,33900,33975,33375,33400,294057,991164577
20200213,34100,34100,33700,33950,99474,337236270
20200212,34000,34000,33800,34000,139943,474771935
20200211,33925,33925,33725,33900,155053,525629927
20200210,33800,33925,33150,33925,133157,448548767
20200207,33550,33900,33525,33800,165218,558253642
20200206,33700,33900,33400,33700,309387,1040885895
20200205,33900,33900,33250,33650,246005,823828570
20200204,32850,33100,32600,33000,226633,744012655
20200203,32400,32925,31850,32200,299594,970701642
20200131,34000,34025,32400,32400,326273,1069343810
20200130,34225,34225,33650,33700,143980,486672252
20200129,34000,34225,33850,33925,87642,297619722
20200128,34175,34225,33775,33950,165230,562153375
20200127,34325,34700,34075,34200,79358,272550107
20200124,34100,34400,34050,34050,139307,475665060
20200123,34425,34475,34150,34200,175456,600294655
20200122,34275,34475,34175,34200,188623,645964167
20200121,34425,34475,34125,34150,207969,710900082
20200120,34750,34875,34150,34175,187109,641398217
20200117,34200,34450,34000,34375,76499,261939587
20200116,34025,34450,33975,34250,177863,608505872
20200115,34350,35300,34000,34175,151247,522165815
20200114,33725,34425,33700,34350,187164,637646440
20200113,33700,33800,33675,33725,135710,457401000
20200110,33825,34125,33550,33625,146724,494479322
20200109,33700,33775,33650,33700,80727,272004105
20200108,33350,33725,33350,33400,107385,360614215
20200107,33675,33850,33650,33700,90045,303482512
20200106,33600,33750,33450,33675,54600,183597080
20200103,33750,34000,33625,34000,95511,323890197
20200102,33475,33900,33400,33450,98890,330952265
20191230,33400,33600,33350,33425,122336,409257925
